what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1369131667683
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369131679055
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131683439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131683969
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369131684780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131685139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131685404
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369131691270
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131691613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131692362
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369131697229
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131697588
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131698352
executed,command,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.commands.uploadproject",1369131698820
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131699163
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131699850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131701644
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131729537
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369131738288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369131743780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369131752843
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369131754887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369131766010
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369131768474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369131803746
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369131819284
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1369131821202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131821577
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131822700
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369131827942
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369131828332
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369131830469
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131831155
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369131832060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.newWizard",1369131832060
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369131832793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369131834104
