what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1386140806525
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140807750
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1386140809496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140811601
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1386140812799
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1386140812804
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1386140815773
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1386140815980
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1386140816071
started,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1386140816172
started,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201202152032,"org.eclipse.linuxtools.cdt.autotools.ui",1386140816342
started,bundle,de.innot.avreclipse.ui,2.4.0.20111202-1142-beta,"de.innot.avreclipse.ui",1386140816453
started,bundle,de.innot.avreclipse.core,2.4.0.20111202-1142-beta,"de.innot.avreclipse.core",1386140816458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140817626
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1386140827674
started,bundle,org.eclipse.debug.core,3.7.1.v20111129-2031,"org.eclipse.debug.core",1386140827819
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1386140829197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140830189
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140839174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140845349
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386140846107
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386140846157
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1386140846572
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1386140848195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140850497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140865544
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140867209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140873780
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386140873863
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386140885001
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140886868
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140893318
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386140904188
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140906121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140911654
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140921447
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140945604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386140947648
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1386140948702
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140951906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140965401
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386140968090
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140969257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140973505
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1386140976794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140984104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140985297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140987029
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386140995574
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1386140997941
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1386141000096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1386141001161
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386141003184
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386141010534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386141016717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386141063402
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1386141064573
